address,city,hotel_facilities,point_of_interest,property_name,property_type,room_type,hotel_rating
"430, Chandakwadi, M G Road",Nashik,Banquet Facilities|Bar / Lounge |Business Center |Currency Exchange|Doctor on Call|Dry Cleaning|Gift Shop |Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Power Backup|Wedding Services Facility|Catering|Multi Lingual Staff|Wake-up Call / Service|Coffee Shop / Cafe|Conference Facility |Smoking Rooms|ATM / Banking|Fire Place Available |Wheelchair Accessibility - Room|Massage Services |Smoking Area |Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Village Visit ( Chargeable )|Car Rental|Express Laundry|Oxygen Cylinder (on request)|Board Room|City Shuttle Service| Drivers Rest Room|Newspapers In Lobby|Postal / Parcel Services|Family Room|Room Service (24 Hours)|Party hall|Air / Rail Booking|Baggage Room|Courier Service|Guide / Sightseeing Service|Internet / Fax (Reception area only)|Outdoor Parking - Non Secured|Parking Facility|Restaurant|Room Service|Fire Safety,Nashik Main Town|Zaveri Bazaar|Maharashtra Engineering Research Centre|Kumbh Mela|Nashik Bus Stand|Golf Club Ground|City Center|Gandhinagar Airport,Hotel Panchvati Yatri,Hotel,Standard Non A/C,3.8
"Upper Reliance Fresh (Madan Gopal Road), Kesar Ganj",Ajmer,Doctor on Call|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Luggage Storage|Doorman|Family Room|Baggage Room|Adjoining Rooms|Outdoor Parking - Secured|Parking Facility|Room Service|First-Aid Kit at Front Desk,,Hotel Prince,Hotel,Standard room,
"241-247, Tara Nagar-D, Kalwar Road, Delhi Ajmer express highway , Jaipur",Jaipur,Swimming Pool|Concierge|Doctor on Call|Internet Access - Surcharge|24 Hour Front Desk,Triton Mall|Ajmer Road|Raj Mandir Cinema,Hotel Palak Paradise,Hotel,Standard Room,
"Near Modern High School, 1170/4, Jangali Maharaj Rd, Shivajinagar,",Pune,Doctor on Call|Non Smoking Rooms|Parking Facilities Available|Front Desk|24 Hour Front Desk|Smoking Rooms|Extra Person / Child - Share the same room|Outdoor Parking - Non Secured|Parking Facility|Room Service|First-Aid Kit at Front Desk,Ramamani Iyengar Memorial Yoga Institute|Universal Hospital|Prabhat Cinema|Shivaji Nagar|Bharati Vidyapeet University|Pataleshwar Cave Temples|FC Road|National Institute of Ophthalmology|Kamla Nehru Hospital|Railway Station Shivaji Nagar|Vishrambaug Wada|Rahul Cinema|Hiremath Healthy Heart Club Pvt Ltd|Shivaji Nagar Bus Stop|Shaniwar Wada|Sahyadri Hospital|Sancheti Hospital|pune central|dagdusheth ganpati|Shivaji Nagar District Court|Raja Dinkar Kelkar Museum,Hotel Radiant,Hotel,Non AC Room,
"Main Road, Maharashtra Major State Highway 3, Sawe Wadi, Latur, Maharashtra 413512",Latur,Doctor on Call|Parking Facilities Available|Front Desk,Sawe Wad,Hotel Radhika,Hotel,Ac Room,
"Phagwara Gate, Near Pratap Bagh, Chahar Bagh, Bajwa Colony, Jalandhar, Punjab 144001",Jalandhar,Parking Facilities Available|Separate Sitting Area|Smoking Rooms|Smoking Area |Extra Person / Child - Share the same room|Newspapers In Lobby|Parking Facility|Room Service,"Phagwara-Jalandhar Highway, Nh 1",Hotel Rajan,Hotel,Standard Room,
"Hadimba Road, Near Sagar Resorts, Manali",Manali,Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Multi Cuisine Restaurant,Hadimba Temple|Chandrakhani Pass|Vashist Hot Water Springs and Temples|Tibetan Monasteries|Hadimba Road|Van Vihar|Manu Temple|Lady Willingdon Hospital|Manali Bus Stand|Civil Hospital|Manali 1st Super Market|Club House,Hotel Paradise,Hotel,Honeymoon Suite,3.7
"Mahatma Gandhi Road, Opp DM Residence AGRA.",Agra,Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Non Smoking Hotel|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Doorman|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Catering|Wake-up Call / Service|Porter / Bellhop|Suitable For Children|Conference Facility |Disabled Friendly Rooms|Kitchen available (home cook food on request)|Transfers Available|Vegetarian Food / Jain Food Available|Car Rental|Taxi Services|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Air / Rail Booking|Baggage Room|Guide / Sightseeing Service|Internet / Fax (Reception area only)|Outdoor Parking - Secured|Parking Facility,Taj Mahal|Agra Fort|Fatehpur Sikri|Dayal Bagh|Agra Fort Station|Sarojini Naidu Medical College|Delhi Gate|City Hospital|Agra Cantt Station|Jama Masjid|Deviram Sweets|Agra Sweets|Raja Ki Mandi Railway Station|Mankameshwar Temple|Fatehabad Road|S N Medical College Emergency Ward|Moti Masjid|Agra Airport,Hotel Pentas,Hotel,Super Deluxe Room,4.3
"Tilak Road, Ahmednagar",Ahmadnagar,Airport Transfer Available / Surcharge|Banquet Facilities|Bar / Lounge |Business Center |Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|24 Hour Front Desk|Luggage Storage|Power Backup|Wake-up Call / Service|Fitness Equipment|Conference Facility |Smoking Rooms|Jacuzzi|Car Rental|Taxi Services|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility|Internet Access|Fire Safety,Bus Stand,Hotel Raj palace,Hotel,Deluxe Ac Room,2.8
"B-374, Meera Bagh, Outer Ring Road, Paschim Vihar",Delhi,Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Currency Exchange|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Conference Facility,Guru Gobind Singh Government Hospital|Arogyam Ayurveda|Peera Garhi|Paschim Vihar|NIRANKARI SATSANG BHAWAN|West Delhi|Delhi Airport,"Hotel Picasso,Paschim Vihar",Hotel,Economy Room,4
"27,Gulab Bagh Road",Udaipur,Airport Transfer Available / Surcharge|Currency Exchange|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Air-Conditioning - Central|Power Backup|Express Check-In / Check-Out|Wake-up Call / Service|Smoking Rooms|Open Air Restaurant / Dining |Vegetarian Food / Jain Food Available|Car Rental|Express Laundry|Taxi Services| Drivers Rest Room|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Parking (Surcharge)|Air / Rail Booking|Baggage Room|Guide / Sightseeing Service|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access,Kumbhalgarh|Fateh Sagar Lake|Lake Pichola|City Palace|Eklingji|Jaisamand Lake|Ranakpur Jain Temple|Jagdish Temple|Bada Mahal|Udaipur Bus Stand|Lake Palace|Udaipur Railway Station|Nagda|Lake Pichola Area|The Oberoi Udaivilas Hotel|Delhi Darwaza,Hotel Padmini Palace,Hotel,Standard Room,4.4
"Station Road, Bhuj Kutch",Bhuj,Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Power Backup|Internet Access Free|Room Service (24 Hours)|Airport Transfer Free|Room Service|Speciality Restaurant |Suites,Prag Mahal|Bhuj Airport|Aina Mahal|Kutch Museum|Sharad Bagh Palace|Station Road,Hotel Prince,Hotel,Deluxe Room,
"K 7.1st Phase,100Ft,Ring Road,KIADB Industrial Area,Jigani Anekal Tq,Bangalore",Bangalore,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|Air-Conditioning - Central|Welcome Drinks|Power Backup|Wake-up Call / Service|Smoking Rooms|Free Local Calls|Extra Person / Child - Share the same room,Other|Alliance University,Hotel R V International,Hotel,Standard Room,2.9
Kishan Pura Road Pushkar,Pushkar,"Banquet Facilities|Business Center |Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Non Smoking Hotel|24 Hour Front Desk|Air-Conditioning - Central|Welcome Drinks|Power Backup|Gardens|Wedding Services Facility|Suitable For Children|Fax Machine|Free Local Calls|Picnic Area|Cell Phone Rental|Massage Services |Pick Up and Drop (Rly Station, Bus Stand, Temple)|In House Events |Car Rental|Express Laundry|Taxi Services|Internet Access Free|Newspapers In Lobby|Postal / Parcel Services|Family Room|Room Service (24 Hours)|Voicemail|Party hall|Baggage Room|Parking Facility",Chawandia Road|Pushkar Lake|Brahma Temple|Savitri Temple,Hotel Pushkar Anandam,Resort,Deluxe Room,3.7
48 Railway Link Rd Near St.Paul Church,Tarn Taran,Doctor on Call|Lobby|Non Smoking Rooms|Front Desk|Doorman|Extra Person / Child - Share the same room|Family Room|Adjoining Rooms|Outdoor Parking - Secured|Fire Safety|Fire Exit Signs,St.Paul Church,hotel prince residency,Hotel,DELUXE DOUBLE BED ROOM,
"NEXT TO TITO'S LANE, OPP NAZRI RESORT, BAGA BEACH ROAD , BAGA , GOA, NORTH GOA",Goa,Airport Transfer Available / Surcharge|Bar / Lounge |Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Pets Allowed|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Hookah Lounge|24 Hour Front Desk|Suitable For Children|Smoking Rooms| Bike on Rent|Extra Person / Child - Share the same room|Car Rental|Taxi Services|Food Facility|Internet Access Free|Room Service (24 Hours)|Spa Services Nearby|Air / Rail Booking|Baggage Room|Guide / Sightseeing Service|Parking Facility,"Calangute Beach|Baga Area|Titos lane, baga|Baga Beach|North Goa|Calangute Bus Stand|Anjuna Beach Bus Stop|Anjuna Beach",HOTEL RADOS BAGA,Hotel,STANDARD A/C,4.7
"Opposite Shanti Kunj Ashram,Haridwar-Rishikesh Highway",Haridwar,Airport Transfer Available / Surcharge|Business Center |Internet Access - Surcharge|Laundry Service Available|Front Desk|Multi Cuisine Restaurant |Doorman,Har Ki Pauri|Railway Station|Rajaji National Park|Bus Stand|Chandi Devi Temple|Mansa Devi Temple|Laxman Jhula|Post Office|Shanti-Kunj Ashram|Shiv Puri (For White Water Rafting)|Dev Sanskriti Vishwavidyalaya|Haridwar-Rishikesh Road|Bharat Mata Mandir,Hotel Park View,Hotel,Deluxe Executive Room,3.2
"1-A, Tonk Road, Sawai Madhopur Ho, Sawai Madhopur - 322001, Balmandir Colony	 (Map)",Sawai Madhopur,Concierge|Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|24 Hour Front Desk|Luggage Storage|Doorman|Kitchen available (home cook food on request)|Food Facility|Family Room|Room Service (24 Hours)|Parking (Surcharge)|Parking Facility|Room Service|Public Restrooms,"1-A, Tonk Road, Sawai Madhopur Ho|Rameshwaram Dham|Ranthambhor Ganesh Temple|Chamatkar Temple",Hotel Pink Palace,Hotel,AC ROOMS,
"hotel parijat, mission road, the mall manali",Manali,Doctor on Call|Lobby|Front Desk|24 Hour Front Desk|Power Backup|Room Service (24 Hours)|Room Service,Hadimba Temple|Chandrakhani Pass|Vashist Hot Water Springs and Temples|Tibetan Monasteries|Van Vihar|Manu Temple|Lady Willingdon Hospital|Mall Road|Manali Bus Stand|Civil Hospital|Manali 1st Super Market|Club House,hotel parijat,Hotel,Standard Double Room,2.5
"In Front of Temple Road, Khajuraho (M.P)",Khajuraho,Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Medical Assistance Available|Air-Conditioning - Central|Power Backup|Translation Services|Wake-up Call / Service|Open Air Restaurant / Dining |Newspapers In Lobby|Room Service (24 Hours)|Air / Rail Booking|Guide / Sightseeing Service,Bus Stand Khajuraho|Adinath Temple|Temple Road|Khajuraho Airport,Hotel Pramod Palace,Hotel,Deluxe A.C,
"Talala Road, (3 kms frm Gateway hotel), Sasangir, Gujarat",Sasan Gir,Doctor on Call|Front Desk|24 Hour Front Desk|Free Local Calls|Outdoor Parking - Secured|First-Aid Kit at Front Desk,Gir Orientation Centre|Crocodile Rearing Centre|Sasan-Talaha Road,Hotel RAINBOW,Hotel,AC,
"81-EC, Scheme No.94-C, Ring Road, Opp. Hotel Radisson, Indore",Indore,Business Center |Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Power Backup|Audio - Visual Equipment|Fax Machine|Internet Access Free|Room Service (24 Hours)|Room Service,A B Road|Meghdoot Upvan Garden,Hotel Prime Avenue,Hotel,Executive Single Room,3.9
"Chainpura Street , Gandhi Chowk Jaisalmer, Rajasthan, INDIA",Jaisalmer,Doctor on Call|Non Smoking Rooms|Front Desk|24 Hour Front Desk|Smoking Rooms|Room Service (24 Hours)|Adjoining Rooms|RO Water Purification System|Room Service|Fire Safety|CCTV,Patwon Ki Haveli|Others|Indira Indoor Stadium|Jaisalmer Fort|Desert Cultural Centre|Folklore Museum|Jain temple|Nathmalji Ki Haveli|Salim Singh Ki Haveli|Jaisalmer Railway Station|Dedansar Stadium|Gadsisar Lake,Hotel Pleasant Haveli,Hotel,Pleasant Cozy (Standard Room),
"Rangri, Kullu Manali National Highway, NH-21",Manali,Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk,ROHTANG PASS |Hadimba Devi Temple|Sollang Valley|GAYATRI DEVI TEMPLE|Vashist Temple|Kothi Village|Civil Hospital|Village Rangri|Chandrakhani Pass|Manali Bus Stand,Hotel Preet,Hotel,Family Suite Room,4
"OPP Petrol Pump,Mayapur,Nadia",Mayapur,Parking Facilities Available|Front Desk,,Hotel Plaza,Hotel,AC Deluxe Room,3
"OPP. AMRAPALI CINEMA, GARH ROAD",Meerut,Banquet Facilities|Doctor on Call|Laundry Service Available|Lobby|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Power Backup|Express Check-In / Check-Out|Wake-up Call / Service|Taxi Services|Newspapers In Lobby|Parking Facility|Room Service,Delhi - Meerut Road,Hotel Rajhans Regency,Hotel,Executive Room,
"Shoram Palace Rd, Bombay Kist, Ooty, Tamil Nadu 643001",Ooty,Doctor on Call|Parking Facilities Available|Front Desk|Power Backup|Parking Facility|Room Service|Fire Safety|Fire Exit Signs|First-Aid Kit at Front Desk,JSS College of Pharmacy|Others|Ooty Lake|Ooty Bus Station|Govenment Hospital|Rose Garden|Ooty Botanical Garden|Raj Bhawan|Vijayaraj Hospital|Ooty Tea Factory,Hotel Pratham International,Hotel,Deluxe Room,
"139 / 1, Amli - Bopal Road, Off S. G. Road,Nr. Ashok Vatika And Iscon Circle, Ahmedabad",Ahmedabad,Business Center |Doctor on Call|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Local Tour / Travel Desk|24 Hour Front Desk|Welcome Drinks|Power Backup|Gardens|Conference Facility |Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)| Cook Services|Parking Facility|Room Service|Suites,Vastrapur Railway Station|Ambli Road Railway Station|Ahemdabad Haat|S.G. Road|Alpha one mall|Kankaria Lake|AMC Dental College and Hospital|ISKCON Temple|Geeta Mandir Bus Stop|Maninagar Railway Station|Drive In Road|Sarkhej Roza|Vastrapur Lake|Lallubhai Gordhanbhai Municipal General Hospital|SAL Hospital|Sanjivani Super Speciality Hospitals,Hotel Planet Landmark,Hotel,Deluxe Room,4.2
"24A/7880, Arakashan Road,Pahar Ganj, Near Railway Station",Delhi,Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Power Backup|Transfers Available|City Shuttle Service|Internet Access Free|Room Service (24 Hours)|Parking Facility|Room Service,Gaffar Market|Gurudwara Sisganj Sahib|New Delhi Railway Station|Chandni Chowk|Embassy Of Islamic Republic Of Iran|Central Baptist Church|Barakhambha Road Metro Station|Govind Ballabh Pant institute of Postgraduate Medical Education &amp;Resarch|Dr. Ram Manohar Lohia Hospital|Karnail Singh Stadium|Shivaji Stadium|Delhi Heart and Lung Institute|Lakshmi Narayan Birla Mandir|Janpath Market|YMCA Institute|Ramakrishna Ashram Marg|Metro Rajiv Chowk|Karol Bagh Metro Station|Jantar Mantar|Connaught Place|Fatehpuri Masjid|Patiala House Court|Agrasen Boali|Gangaram Hospital|Paharganj|Central Delhi|Jama Masjid|Ajmeri Gate|Shivaji Hockey Stadium|Hanuman Temple|Palika Bazaar,Hotel R.S. International,Hotel,Standard NON AC Room,2.6
"Napier Town Jabalpur, Nagrath Square, Near Income Tax Office, Jabalpur - 482001",Jabalpur,"Banquet Facilities|Bar / Lounge |Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Air-Conditioning - Central|Power Backup|Wedding Services Facility|Wake-up Call / Service|Coffee Shop / Cafe|Conference Facility |Pick Up and Drop (Rly Station, Bus Stand, Temple)|Open Air Restaurant / Dining |Car Rental|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Party hall|Air / Rail Booking|STD / ISD|RO Water Purification System",Nagrath Square|Rani Durgavati Memorial and Museum|Pisan Hari Jain Temple,Hotel Prestige Princess,Hotel,Elegane Room,2.5
"Main Road, Waidhan,district. Singrauli - 486886",Singrauli,"Airport Transfer Available / Surcharge|Business Center |Doctor on Call|Dry Cleaning|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Valet service|Major Credit Cards Accepted|Power Backup|Gardens|ATM / Banking|Pick Up and Drop (Rly Station, Bus Stand, Temple)| Drivers Rest Room|Internet Access Free|Family Room|Party hall|Outdoor Parking - Secured|Parking Facility|Room Service|CCTV|Pest Control Facility|Public Restrooms|Suites","Vindhyanagar - Waidhan Rd, Waidhan",Hotel Rajkamal,Hotel,Deluxe Room,
Dharmalayam Road,Thiruvananthapuram,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Room Service (24 Hours),Thiruvananthapuram Central Railway Station|Napier Museum|Thiruvananthapuram Zoo|Vaniya Street|Trivandrum International Airport|Sree Padmanabhaswamy temple,Hotel Prathiba Heritage,Hotel,Deluxe Double Non AC Room,
"Premdan Chowk, Gaikwad Complex, Savedi, Ahmednagar.",Ahmadnagar,Laundry Service Available|Parking Facilities Available|Front Desk|24 Hour Front Desk|Car Rental|Newspapers In Lobby|Parking Facility|Room Service,Premdan Chowk,Hotel Pooja Palace,Hotel,Deluxe Non Ac Room,
Near Tarikhana Chowraha Opp Chaddha Compalex G M D Road,Moradabad,Banquet Facilities|Business Center |Doctor on Call|Gift Shop |Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Power Backup|Wake-up Call / Service|ATM / Banking|Taxi Services|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Party hall|Air / Rail Booking|Internet / Fax (Reception area only)|Parking Facility|Room Service|CCTV|Suites,,Hotel Pratiksha,Hotel,NON A/C,3.9
"No 1, Perumal Tank West Street, Town Hall road, Madurai 625001.",Madurai,Airport Transfer Available / Surcharge|Business Center |Gift Shop |Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Taxi Services|Internet Access Free|Room Service (24 Hours)|Parking Facility,Madurai Airport|Periyar Bus Stand|Anna Nagar Bus Stop|Madurai Main,Hotel Padmam,Hotel,Standard Non A/C,3.6
"Main Agra Chowk, D M Road, Palwal Ho, Palwal - 121102",Palwal,Doctor on Call|Dry Cleaning|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility|Internet Access|Room Service|Fire Safety|CCTV|First-Aid Kit at Front Desk,Main Agra Chowk,Hotel Posh,Hotel,Standard Room,
"Cantt Road, Just 0.5 KM away from Main market Dharamshala(Kotwali Bazar ) and 1.5 kms from I.S.B.T.",Dharmsala,Airport Transfer Available / Surcharge|Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Gardens|ATM / Banking|Express Laundry|Taxi Services|Food Facility|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,,Hotel Pong View,Hotel,Standard Cottage Room (20 stairs walking),4.1
"Imli Mohalla, Ajmer Ho, Ajmer - 305001, Near Dargah Sharif",Ajmer,Airport Transfer Available / Surcharge|Babysitting/ Child Care (surcharge)|Banquet Facilities|Business Center |Concierge|Currency Exchange|Doctor on Call|Dry Cleaning|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Doorman|Power Backup|Room Service (24 Hours)|Outdoor Parking - Secured|Fire Safety|Fire Exit Signs|First-Aid Kit at Front Desk,,Hotel Peerzada Palace,Hotel,Non Ac room,
"near krishna vihar colony, jindal road",Raigarh,"Ballroom|Banquet Facilities|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Hookah Lounge|Major Credit Cards Accepted|24 Hour Front Desk|Medical Assistance Available|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Catering|Wake-up Call / Service|Fitness Equipment|Suitable For Children|Separate Sitting Area|Grocery|Wheelchair Accessibility - Room|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Transfers Available|Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Express Laundry|Oxygen Cylinder (on request)|Taxi Services|City Shuttle Service|Food Facility|Internet Access Free|Newspapers In Lobby|Voicemail|Party hall|Air / Rail Booking|Baggage Room|Courier Service|RO Water Purification System|Parking Facility|Internet Access|Restaurant|Room Service|Fire Safety|CCTV|First-Aid Kit at Front Desk|Full Time Operation for All 7 Days|Security at All Hotel Entrances",Jagatpur,Hotel Pink Pearl,Hotel,Deluxe Room,4.6
"Opp. Polo Ground,",Mount Abu,Doctor on Call|Parking Facilities Available|Front Desk|24 Hour Front Desk,Toad Rock|Dilwara Temple|Nakki Lake|Bus Stand|Om Shanti Bhawan|Shankar Math|Jaipur House|Dilwara Temples|Polo Ground Area,Hotel Polo View,Hotel,Deluxe Double Bed Room,3
1-1-147/1 S.D Road Secunderabad,Secunderabad,Parking Facilities Available|Food Facility|Outdoor Parking - Secured|Parking Facility|Public Restrooms,S.D Road,Hotel Padmini,Hotel,Standard Room,5
"8913,, Gali Number 2, Multani Dhanda, Paharganj, New Delhi, Delhi 110055",Delhi,Front Desk|Parking Facility|Internet Access|Room Service|Public Restrooms,Gaffar Market|Gurudwara Sisganj Sahib|Connaught Place|Chandni Chowk|Govind Ballabh Pant institute of Postgraduate Medical Education &amp;Resarch|Dr. Ram Manohar Lohia Hospital|Karnail Singh Stadium|Metro Rajiv Chowk|Gurudwara Nanaksar Sahib|Shivaji Stadium|Delhi Heart and Lung Institute|Lakshmi Narayan Birla Mandir|Janpath Market|YMCA Institute|Gurudwara Bangla Sahib|Ramakrishna Ashram Marg|Talkatora Indoor Stadium|Central Delhi|Jantar Mantar|New Delhi Railway Station|Fatehpuri Masjid|Patiala House Court|Lok Nayak Jai Prakash Narayan Hospital|Agrasen Boali|Gangaram Hospital|Paharganj|Karol Bagh Metro Station|Jama Masjid|Ajmeri Gate|Shivaji Hockey Stadium|Hanuman Temple|Palika Bazaar,Hotel Radha Krishna,Hotel,Deluxe Room,
"Near Dargah shariff,Main market Nalabazar,Dargah Road",Ajmer,Doctor on Call|24 Hour Front Desk|Family Room|RO Water Purification System,,Hotel Raahat Palace,Hotel,Deluxe Room,
"Opposite Amar Ashram, Polo Ground, Patiala, Punjab-147001",Patiala,,"Railway Station Area, Gurdwara Road|Baradari Garden|Qila Mubarak Complex|Kali Devi Mandir|Patiala Bus Stand",Hotel Polo Club,Hotel,Standard room,3
"The Mall Road,",Mussoorie,Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Power Backup|Gardens|Internet Access Free|Outdoor Parking - Secured|Parking Facility|Room Service|Public Restrooms,,"Hotel Pioneer, Mussoorie",Hotel,Standard Room,3.6
"114-115,West Perumal Maistry street",Madurai,Bar / Lounge |Laundry Service Available|Lift / Elevator|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Open Air Restaurant / Dining |Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility|Restaurant,Madurai Junction|Periyar Bus Stand|Madurai Airport|Anna Nagar Bus Stop,Hotel Park Plaza,Hotel,Standard,3.8
V.P.O. Naggar,Manali,Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant,Naggar Fort&amp;Art Gallery|Naggar Road|Naggar,Hotel Ragini,Hotel,Deluxe Room,4.1
"Badrinath Road, Tapovan, Rishikesh",Rishikesh,Business Center |Concierge|Doctor on Call|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Power Backup|Gardens|Internet Access Free|Parking Facility|Room Service,Laxman Jhula Area,Hotel Raj Mahal,Hotel,Standard AC Room,
"Near Railway Phatak, Rajnagar, Bijainagar, District- Ajmer, Bijainagar, Ajmer - 305624",Ajmer,Doctor on Call|Parking Facilities Available|Front Desk|Room Service|First-Aid Kit at Front Desk,,Hotel Premdeep,Hotel,Ac Room,
"Forest Bunglow Road,Khadal Gobra Behind Digha Police Station",Digha,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Catering|Wake-up Call / Service|Conference Facility |Discotheque |Vegetarian Food / Jain Food Available|Car Rental|Express Laundry|Taxi Services|Food Facility|Room Service (24 Hours)|Air / Rail Booking|Parking Facility,Old Digha,Hotel Parijayee,Hotel,NON AC DELUXE ROOM,4.2
Middle Pelling,Pelling,Doctor on Call|Laundry Service Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|24 Hour Front Desk|Food Facility|Room Service (24 Hours)| Cook Services|Parking Facility,Sangachoeling Monastery|Pemayangtse Monastery|Middle Pelling,Hotel Paradzong,Hotel,View Room,3.1
